,num bidders,avg rev,avg num med
0,2.0,1.4142135623730951,1.0
1,3.0,1.7320508075688772,1.0
2,4.0,2.0,1.0
3,5.0,2.23606797749979,1.0
4,6.0,4.898979485566356,5.0
5,7.0,5.291502622129181,4.0
6,8.0,5.656854249492381,4.0
7,9.0,3.0,1.0
8,10.0,6.324555320336759,4.0
9,11.0,6.6332495807108,3.0
10,12.0,6.928203230275509,5.0
11,13.0,7.211102550927978,5.0
12,14.0,7.483314773547883,5.0
13,15.0,7.745966692414834,7.0
14,16.0,8.0,6.0
15,17.0,8.246211251235321,5.0
16,18.0,8.48528137423857,6.0
17,19.0,8.717797887081348,5.0
18,20.0,8.94427190999916,9.0
19,21.0,9.16515138991168,9.0
20,22.0,9.38083151964686,5.0
21,23.0,9.591663046625438,4.0
22,24.0,9.797958971132712,7.0
23,25.0,10.0,4.0
24,26.0,10.198039027185569,3.0
25,27.0,10.392304845413264,10.0
26,28.0,10.583005244258363,5.0
27,29.0,10.770329614269007,3.0
28,30.0,10.954451150103322,4.0
